Filename,Volume_cm3,Height_m,Alpha,Method,MaxX,MaxY,MaxZ
cluster_0.txt,2.451011,0.012820,,convex,5.780440,1.492550,-0.081700
cluster_1.txt,5.311663,0.029010,,convex,5.751040,1.521130,-0.067130
cluster_10.txt,87.544846,0.075670,,convex,5.777550,1.744710,-0.020220
cluster_100.txt,0.191109,0.004080,,convex,6.694620,1.965620,-0.092060
cluster_101.txt,3.265202,0.023060,,convex,6.732290,2.023970,-0.088600
cluster_102.txt,2.721390,0.019780,,convex,6.566780,2.122340,-0.115660
cluster_103.txt,1.519421,0.011420,,convex,6.571480,2.152170,-0.127340
cluster_104.txt,3.789787,0.023790,,convex,6.610770,2.165550,-0.102040
cluster_105.txt,2.544431,0.017190,,convex,6.635980,2.145600,-0.110030
cluster_106.txt,0.747928,0.008690,,convex,6.640910,2.082020,-0.115200
cluster_107.txt,3.810723,0.023900,,convex,6.647720,2.177440,-0.100830
cluster_108.txt,2.040018,0.018180,,convex,6.659010,2.116130,-0.112080
cluster_109.txt,0.890357,0.007540,,convex,6.673390,2.073310,-0.119560
cluster_11.txt,5.495079,0.027620,,convex,5.902820,1.418360,-0.050640
cluster_110.txt,5.179996,0.026420,,convex,6.687380,2.141080,-0.100500
cluster_111.txt,0.519323,0.007850,,convex,6.692760,2.075640,-0.114540
cluster_112.txt,0.647671,0.007980,,convex,6.691670,2.098860,-0.117610
cluster_113.txt,1.595353,0.012500,,convex,6.757210,2.095220,-0.116200
cluster_114.txt,4.434262,0.024970,,convex,6.802250,1.747050,-0.059560
cluster_115.txt,12.133970,0.024830,,convex,6.785920,1.834940,-0.062160
cluster_116.txt,0.668064,0.011560,,convex,6.850430,1.819300,-0.075310
cluster_117.txt,1.511775,0.011690,,convex,6.898850,1.788620,-0.079600
cluster_118.txt,2.008248,0.018310,,convex,6.779580,1.936650,-0.067350
cluster_119.txt,1.757222,0.012090,,convex,6.821600,1.951930,-0.078150
cluster_12.txt,3.606254,0.019630,,convex,5.937500,1.488120,-0.058690
cluster_120.txt,0.868512,0.012570,,convex,6.822810,1.898170,-0.075370
cluster_121.txt,0.474325,0.007590,,convex,6.836860,1.920190,-0.084020
cluster_122.txt,3.903822,0.031620,,convex,6.873340,1.863470,-0.066410
cluster_123.txt,1.078770,0.013020,,convex,6.898850,1.853970,-0.080390
cluster_124.txt,1.130610,0.009700,,convex,6.909630,1.869320,-0.084330
cluster_125.txt,3.954525,0.015150,,convex,6.973570,1.860600,-0.069270
cluster_126.txt,4.010658,0.015480,,convex,6.909240,1.939830,-0.081980
cluster_127.txt,2.913791,0.012740,,convex,6.959430,1.912450,-0.076100
cluster_128.txt,7.979297,0.026670,,convex,6.975870,1.950930,-0.060110
cluster_129.txt,1.214082,0.011120,,convex,7.003670,1.902740,-0.070020
cluster_13.txt,33.998196,0.047830,,convex,5.959400,1.601750,-0.031700
cluster_130.txt,25.840290,0.046480,,convex,7.020750,1.951140,-0.031940
cluster_131.txt,3.611985,0.028410,,convex,7.027970,1.884280,-0.046380
cluster_132.txt,0.535407,0.013120,,convex,6.764020,1.968730,-0.076140
cluster_133.txt,5.395033,0.017200,,convex,6.789670,1.982250,-0.076830
cluster_134.txt,2.421749,0.016020,,convex,6.763120,2.059740,-0.104770
cluster_135.txt,0.315045,0.006320,,convex,6.801150,2.047630,-0.105270
cluster_136.txt,0.771176,0.010960,,convex,6.774150,2.006040,-0.090360
cluster_137.txt,0.281262,0.008500,,convex,6.838330,1.981570,-0.085130
cluster_138.txt,0.194611,0.007410,,convex,6.841400,1.965590,-0.085500
cluster_139.txt,0.245056,0.007460,,convex,6.818070,2.012000,-0.091220
cluster_14.txt,3.871683,0.025110,,convex,5.888700,1.645470,-0.067060
cluster_140.txt,0.246053,0.007500,,convex,6.847470,2.022350,-0.090990
cluster_141.txt,0.782273,0.012850,,convex,6.848990,2.044790,-0.090390
cluster_142.txt,2.952180,0.024810,,convex,6.855360,2.072430,-0.088810
cluster_143.txt,1.134516,0.016130,,convex,6.880070,1.965260,-0.077970
cluster_144.txt,5.474921,0.031410,,convex,6.909820,1.981650,-0.064590
cluster_145.txt,1.203675,0.011310,,convex,6.946470,2.068090,-0.109240
cluster_146.txt,0.978525,0.012450,,convex,6.817360,2.079830,-0.104900
cluster_147.txt,0.926188,0.011590,,convex,6.799690,2.095210,-0.105940
cluster_148.txt,0.411073,0.009770,,convex,6.775470,2.122930,-0.113490
cluster_149.txt,1.524398,0.011740,,convex,6.825160,2.146220,-0.114080
cluster_15.txt,2.525995,0.018080,,convex,5.960200,1.514550,-0.059730
cluster_150.txt,1.909039,0.018550,,convex,6.834890,2.131420,-0.106210
cluster_151.txt,2.485656,0.018320,,convex,6.871980,2.165710,-0.108280
cluster_152.txt,1.097636,0.015260,,convex,6.961030,2.141160,-0.113260
cluster_153.txt,1.594716,0.016630,,convex,6.992870,2.108000,-0.105850
cluster_154.txt,2.054376,0.021110,,convex,6.986080,2.138160,-0.104600
cluster_155.txt,8.186112,0.024260,,convex,7.003620,2.180750,-0.112590
cluster_156.txt,1.821314,0.018240,,convex,7.126960,2.106350,-0.103500
cluster_157.txt,1.449599,0.010880,,convex,7.088320,2.151930,-0.127560
cluster_158.txt,1.167650,0.007790,,convex,5.541830,2.201340,-0.114660
cluster_159.txt,1.213504,0.013880,,convex,5.592620,2.209200,-0.108850
cluster_16.txt,2.223947,0.017780,,convex,5.974270,1.485110,-0.058680
cluster_160.txt,2.397825,0.014670,,convex,5.627450,2.220340,-0.118410
cluster_161.txt,2.144579,0.013490,,convex,5.529830,2.362150,-0.102360
cluster_162.txt,6.282754,0.019390,,convex,5.607430,2.345910,-0.087980
cluster_163.txt,1.605095,0.014120,,convex,5.650450,2.311060,-0.101490
cluster_164.txt,5.883183,0.021590,,convex,5.665660,2.356860,-0.085570
cluster_165.txt,6.220730,0.031340,,convex,5.712960,2.335580,-0.078070
cluster_166.txt,16.966459,0.036180,,convex,5.719920,2.378920,-0.056640
cluster_167.txt,1.132679,0.011340,,convex,5.729780,2.225420,-0.129780
cluster_168.txt,5.116100,0.026020,,convex,5.859460,2.389580,-0.088830
cluster_169.txt,1.507119,0.012280,,convex,5.474570,2.437580,-0.099900
cluster_17.txt,7.206905,0.021440,,convex,5.989590,1.548940,-0.059900
cluster_170.txt,3.033514,0.012910,,convex,5.531930,2.492320,-0.092360
cluster_171.txt,0.113747,0.004490,,convex,5.534710,2.426740,-0.103050
cluster_172.txt,1.323931,0.010230,,convex,5.521390,2.550970,-0.103690
cluster_173.txt,0.067240,0.006030,,convex,5.537320,2.611920,-0.100090
cluster_174.txt,2.906367,0.016920,,convex,5.547930,2.612010,-0.090500
cluster_175.txt,0.456976,0.007500,,convex,5.567480,2.545360,-0.100130
cluster_176.txt,3.163782,0.017810,,convex,5.606280,2.572570,-0.098170
cluster_177.txt,5.161351,0.028540,,convex,5.607000,2.517300,-0.083620
cluster_178.txt,0.387768,0.005770,,convex,5.645760,2.520110,-0.112850
cluster_179.txt,1.263833,0.013230,,convex,5.762310,2.396850,-0.088190
cluster_18.txt,0.733977,0.013570,,convex,5.992540,1.515250,-0.062310
cluster_180.txt,0.883744,0.011770,,convex,5.763340,2.420020,-0.089690
cluster_181.txt,1.160525,0.011250,,convex,5.807230,2.413270,-0.090080
cluster_182.txt,1.170879,0.007910,,convex,5.826210,2.400490,-0.100740
cluster_183.txt,5.403231,0.027500,,convex,5.878780,2.445970,-0.079290
cluster_184.txt,15.297052,0.033760,,convex,5.821040,2.469020,-0.065080
cluster_185.txt,3.706002,0.020840,,convex,5.858120,2.491660,-0.079460
cluster_186.txt,15.168588,0.028700,,convex,5.829390,2.613990,-0.078670
cluster_187.txt,5.295132,0.027530,,convex,5.941670,2.238250,-0.103680
cluster_188.txt,1.264388,0.012560,,convex,5.928240,2.263020,-0.115410
cluster_189.txt,2.383497,0.019570,,convex,5.983990,2.241130,-0.121160
cluster_19.txt,9.105264,0.027800,,convex,6.019560,1.385770,-0.046410
cluster_190.txt,0.320955,0.004510,,convex,5.954060,2.267610,-0.127900
cluster_191.txt,0.477098,0.008270,,convex,6.001310,2.260870,-0.132350
cluster_192.txt,7.344688,0.027930,,convex,5.900790,2.294710,-0.101730
cluster_193.txt,3.616999,0.028810,,convex,5.966990,2.321400,-0.103580
cluster_194.txt,10.294293,0.028930,,convex,5.904490,2.340590,-0.099760
cluster_195.txt,0.058787,0.002600,,convex,5.942610,2.291660,-0.124140
cluster_196.txt,9.323859,0.044890,,convex,5.951400,2.393300,-0.081100
cluster_197.txt,0.827522,0.018110,,convex,5.953740,2.374830,-0.099430
cluster_198.txt,1.077978,0.013200,,convex,5.967950,2.358610,-0.111440
cluster_199.txt,0.784309,0.008110,,convex,5.997600,2.308200,-0.130960
cluster_2.txt,4.598790,0.016100,,convex,5.618870,1.644090,-0.074430
cluster_20.txt,31.291923,0.044930,,convex,5.658760,1.896940,-0.069010
cluster_200.txt,1.290108,0.012340,,convex,6.012180,2.330390,-0.128030
cluster_201.txt,4.169777,0.018270,,convex,6.015920,2.376800,-0.116750
cluster_202.txt,5.135559,0.023100,,convex,6.074530,2.335150,-0.121070
cluster_203.txt,6.107659,0.019780,,convex,6.172350,2.287590,-0.105650
cluster_204.txt,2.163351,0.018610,,convex,6.295250,2.282620,-0.106780
cluster_205.txt,9.011747,0.025790,,convex,6.141250,2.307180,-0.109210
cluster_206.txt,22.003596,0.029830,,convex,6.165170,2.368800,-0.107220
cluster_207.txt,11.553283,0.035500,,convex,5.906390,2.432310,-0.078690
cluster_208.txt,0.822755,0.009280,,convex,5.899270,2.500780,-0.095670
cluster_209.txt,7.693488,0.022290,,convex,5.927510,2.488220,-0.087040
cluster_21.txt,11.621103,0.028370,,convex,5.744340,1.752200,-0.060000
cluster_210.txt,5.494402,0.018590,,convex,5.961240,2.495760,-0.099150
cluster_211.txt,0.990800,0.010750,,convex,5.978650,2.595610,-0.097170
cluster_212.txt,3.858699,0.024050,,convex,6.051470,2.537980,-0.097100
cluster_213.txt,0.550797,0.006590,,convex,6.010550,2.574090,-0.099350
cluster_214.txt,2.103824,0.019930,,convex,6.017380,2.603940,-0.085690
cluster_215.txt,2.517174,0.018220,,convex,6.097640,2.574470,-0.106630
cluster_216.txt,10.343110,0.020470,,convex,6.167840,2.599070,-0.102960
cluster_217.txt,2.306089,0.017350,,convex,6.127660,2.615860,-0.100730
cluster_218.txt,3.539403,0.022890,,convex,6.229940,2.538510,-0.114210
cluster_219.txt,4.901824,0.023240,,convex,6.235320,2.578320,-0.112410
cluster_22.txt,3.946904,0.020740,,convex,5.740840,1.787230,-0.078960
cluster_220.txt,4.078779,0.035770,,convex,6.280000,2.519970,-0.103800
